session,flight,n_iterations,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,rejected_frac,fit_window_duration_ms
2026_07_15_gym,flight_12,10,20,ok,303.3602,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,10,21,ok,276.3252,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,22,ok,274.4066,190.4634,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,10,23,ok,285.4246,182.4381,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,10,24,ok,294.7643,170.9193,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,0,ok,398.1204,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,15,1,ok,438.7547,165.9363,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,2,ok,439.9362,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,3,ok,426.1964,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,4,ok,405.1145,170.5305,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,5,ok,418.2983,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,15,6,ok,419.0212,154.1862,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,7,ok,449.6138,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,8,ok,459.1277,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,9,ok,425.2426,209.3881,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,10,ok,443.4589,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,11,ok,442.0774,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,12,ok,438.0982,191.4347,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,13,ok,406.1226,170.5305,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,14,ok,435.3248,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,15,ok,455.3007,209.3881,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,16,ok,428.9263,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,17,ok,405.0180,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,15,18,ok,415.1112,151.5591,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,19,ok,461.1898,209.3881,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,20,ok,435.1560,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,21,ok,417.6284,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,15,22,ok,382.4581,165.9363,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,15,23,ok,399.0098,182.4381,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,15,24,ok,408.8854,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,0,ok,683.8718,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,1,ok,702.7372,165.9363,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,25,2,ok,696.2905,182.4381,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,3,ok,665.3269,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,4,ok,697.6257,170.5305,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,5,ok,683.4380,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,6,ok,639.4548,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,7,ok,706.8109,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,8,ok,686.6546,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,25,9,ok,755.0615,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,10,ok,673.9889,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,11,ok,675.5271,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,12,ok,693.1072,191.4347,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,13,ok,692.5074,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,14,ok,671.2767,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,15,ok,686.4744,209.3881,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,25,16,ok,704.0478,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,17,ok,634.1219,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,18,ok,641.9357,151.5591,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,19,ok,696.8280,170.5305,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,20,ok,675.9276,182.4381,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,25,21,ok,701.4325,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,25,22,ok,669.7871,165.9363,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,25,23,ok,667.4298,182.4381,19,26,0.2692,416.3005
