session,flight,W_ms,status,n_points,detect_sum_ms,triangulate_ms,ransac_ms,total_compute_ms,w_plus_compute_ms,position_error_mm,velocity_error_a_mm_s,velocity_error_b_mm_s,lead_time_ms,reason
2026_07_15_gym,flight_14,200.0,ok,13,251.09685500711203,0.1085280030965805,100.41265899688005,351.61804200708866,551.6180420070887,827.9211564439294,390.8327397466652,231733.90651927362,1282.211,
2026_07_15_gym,flight_14,250.0,ok,15,288.4898160174489,0.11549100279808044,106.64044000208378,395.24574702233076,645.2457470223308,827.9211564439294,390.8327397466652,231733.90651927362,1248.907,
2026_07_15_gym,flight_14,300.0,ok,18,345.3810580074787,0.12478800117969513,120.50401099771261,466.009857006371,766.009857006371,395.38145271531636,410.2505134269872,231539.9017024885,1182.2984999999999,
2026_07_15_gym,flight_14,350.0,ok,21,403.3278170004487,0.1375119984149933,125.48746100068092,528.9527899995446,878.9527899995446,326.8519120091059,467.6785527430054,231461.14376155724,1132.341,
2026_07_15_gym,flight_14,400.0,ok,24,460.4731570184231,0.14466000348329544,125.4252519980073,586.0430690199137,986.0430690199137,334.54990298704195,434.921208119575,231499.61192046598,1082.3864999999998,
2026_07_15_gym,flight_14,430.0,ok,25,478.96975802630186,0.15119799971580505,133.60042300075293,612.7213790267706,1042.7213790267706,336.7870912711922,433.3824710217239,231501.73424159485,1065.7329999999997,
2026_07_15_gym,flight_15,150.0,fit_failed,,,,,,,,,,,ransac_fit: no candidate model reached >= min_samples (8) inliers over 3 iterations
2026_07_15_gym,flight_15,200.0,fit_failed,,,,,,,,,,,ransac_fit: no candidate model reached >= min_samples (8) inliers over 3 iterations
2026_07_15_gym,flight_15,250.0,ok,16,309.2122090011835,0.11986199021339417,104.34064800292253,413.67271899431944,663.6727189943194,141.8110969009096,102.19698217687038,12074.149045645485,1348.818,
2026_07_15_gym,flight_15,300.0,ok,19,366.93300399929285,0.1282150074839592,116.55918800830841,483.6204070150852,783.6204070150852,328.45559551577395,235.9079364075299,12195.438837701338,1298.8619999999999,
