cls,window_ms,D_mm,phase_i,phase_j,origin_y_mm,origin_z_mm,n_included,n_correct,match_fraction
SHORT,400,300,2,8,-2850.0000,240.0000,47,34,0.723404
SHORT,400,300,2,9,-2850.0000,270.0000,47,35,0.744681
SHORT,400,300,3,0,-2820.0000,0.0000,47,32,0.680851
SHORT,400,300,3,1,-2820.0000,30.0000,47,31,0.659574
SHORT,400,300,3,2,-2820.0000,60.0000,47,36,0.765957
SHORT,400,300,3,3,-2820.0000,90.0000,47,35,0.744681
SHORT,400,300,3,4,-2820.0000,120.0000,47,33,0.702128
SHORT,400,300,3,5,-2820.0000,150.0000,47,34,0.723404
SHORT,400,300,3,6,-2820.0000,180.0000,47,38,0.808511
SHORT,400,300,3,7,-2820.0000,210.0000,47,36,0.765957
SHORT,400,300,3,8,-2820.0000,240.0000,47,35,0.744681
SHORT,400,300,3,9,-2820.0000,270.0000,47,35,0.744681
SHORT,400,300,4,0,-2790.0000,0.0000,47,32,0.680851
SHORT,400,300,4,1,-2790.0000,30.0000,47,31,0.659574
SHORT,400,300,4,2,-2790.0000,60.0000,47,36,0.765957
SHORT,400,300,4,3,-2790.0000,90.0000,47,35,0.744681
SHORT,400,300,4,4,-2790.0000,120.0000,47,33,0.702128
SHORT,400,300,4,5,-2790.0000,150.0000,47,34,0.723404
SHORT,400,300,4,6,-2790.0000,180.0000,47,38,0.808511
SHORT,400,300,4,7,-2790.0000,210.0000,47,37,0.787234
SHORT,400,300,4,8,-2790.0000,240.0000,47,35,0.744681
SHORT,400,300,4,9,-2790.0000,270.0000,47,35,0.744681
SHORT,400,300,5,0,-2760.0000,0.0000,47,32,0.680851
SHORT,400,300,5,1,-2760.0000,30.0000,47,30,0.638298
SHORT,400,300,5,2,-2760.0000,60.0000,47,36,0.765957
SHORT,400,300,5,3,-2760.0000,90.0000,47,35,0.744681
SHORT,400,300,5,4,-2760.0000,120.0000,47,33,0.702128
SHORT,400,300,5,5,-2760.0000,150.0000,47,35,0.744681
SHORT,400,300,5,6,-2760.0000,180.0000,47,39,0.829787
SHORT,400,300,5,7,-2760.0000,210.0000,47,38,0.808511
SHORT,400,300,5,8,-2760.0000,240.0000,47,36,0.765957
SHORT,400,300,5,9,-2760.0000,270.0000,47,36,0.765957
SHORT,400,300,6,0,-2730.0000,0.0000,47,30,0.638298
SHORT,400,300,6,1,-2730.0000,30.0000,47,28,0.595745
SHORT,400,300,6,2,-2730.0000,60.0000,47,33,0.702128
SHORT,400,300,6,3,-2730.0000,90.0000,47,32,0.680851
SHORT,400,300,6,4,-2730.0000,120.0000,47,30,0.638298
SHORT,400,300,6,5,-2730.0000,150.0000,47,34,0.723404
SHORT,400,300,6,6,-2730.0000,180.0000,47,36,0.765957
SHORT,400,300,6,7,-2730.0000,210.0000,47,34,0.723404
SHORT,400,300,6,8,-2730.0000,240.0000,47,32,0.680851
SHORT,400,300,6,9,-2730.0000,270.0000,47,32,0.680851
SHORT,400,300,7,0,-2700.0000,0.0000,47,29,0.617021
SHORT,400,300,7,1,-2700.0000,30.0000,47,28,0.595745
SHORT,400,300,7,2,-2700.0000,60.0000,47,33,0.702128
SHORT,400,300,7,3,-2700.0000,90.0000,47,30,0.638298
SHORT,400,300,7,4,-2700.0000,120.0000,47,28,0.595745
SHORT,400,300,7,5,-2700.0000,150.0000,47,31,0.659574
SHORT,400,300,7,6,-2700.0000,180.0000,47,34,0.723404
SHORT,400,300,7,7,-2700.0000,210.0000,47,32,0.680851
SHORT,400,300,7,8,-2700.0000,240.0000,47,30,0.638298
SHORT,400,300,7,9,-2700.0000,270.0000,47,30,0.638298
SHORT,400,300,8,0,-2670.0000,0.0000,47,33,0.702128
SHORT,400,300,8,1,-2670.0000,30.0000,47,32,0.680851
SHORT,400,300,8,2,-2670.0000,60.0000,47,37,0.787234
SHORT,400,300,8,3,-2670.0000,90.0000,47,34,0.723404
SHORT,400,300,8,4,-2670.0000,120.0000,47,33,0.702128
SHORT,400,300,8,5,-2670.0000,150.0000,47,35,0.744681
SHORT,400,300,8,6,-2670.0000,180.0000,47,39,0.829787
SHORT,400,300,8,7,-2670.0000,210.0000,47,37,0.787234
SHORT,400,300,8,8,-2670.0000,240.0000,47,35,0.744681
SHORT,400,300,8,9,-2670.0000,270.0000,47,35,0.744681
SHORT,400,300,9,0,-2640.0000,0.0000,47,30,0.638298
SHORT,400,300,9,1,-2640.0000,30.0000,47,28,0.595745
SHORT,400,300,9,2,-2640.0000,60.0000,47,33,0.702128
SHORT,400,300,9,3,-2640.0000,90.0000,47,32,0.680851
SHORT,400,300,9,4,-2640.0000,120.0000,47,31,0.659574
SHORT,400,300,9,5,-2640.0000,150.0000,47,32,0.680851
SHORT,400,300,9,6,-2640.0000,180.0000,47,36,0.765957
SHORT,400,300,9,7,-2640.0000,210.0000,47,34,0.723404
SHORT,400,300,9,8,-2640.0000,240.0000,47,33,0.702128
SHORT,400,300,9,9,-2640.0000,270.0000,47,32,0.680851
SHORT,400,400,0,0,-2910.0000,0.0000,47,39,0.829787
SHORT,400,400,0,1,-2910.0000,40.0000,47,36,0.765957
SHORT,400,400,0,2,-2910.0000,80.0000,47,40,0.851064
SHORT,400,400,0,3,-2910.0000,120.0000,47,37,0.787234
SHORT,400,400,0,4,-2910.0000,160.0000,47,40,0.851064
SHORT,400,400,0,5,-2910.0000,200.0000,47,38,0.808511
SHORT,400,400,0,6,-2910.0000,240.0000,47,37,0.787234
SHORT,400,400,0,7,-2910.0000,280.0000,47,41,0.872340
SHORT,400,400,0,8,-2910.0000,320.0000,47,40,0.851064
SHORT,400,400,0,9,-2910.0000,360.0000,47,39,0.829787
SHORT,400,400,1,0,-2870.0000,0.0000,47,40,0.851064
SHORT,400,400,1,1,-2870.0000,40.0000,47,36,0.765957
SHORT,400,400,1,2,-2870.0000,80.0000,47,39,0.829787
SHORT,400,400,1,3,-2870.0000,120.0000,47,37,0.787234
SHORT,400,400,1,4,-2870.0000,160.0000,47,40,0.851064
SHORT,400,400,1,5,-2870.0000,200.0000,47,38,0.808511
SHORT,400,400,1,6,-2870.0000,240.0000,47,37,0.787234
SHORT,400,400,1,7,-2870.0000,280.0000,47,41,0.872340
SHORT,400,400,1,8,-2870.0000,320.0000,47,40,0.851064
SHORT,400,400,1,9,-2870.0000,360.0000,47,39,0.829787
SHORT,400,400,2,0,-2830.0000,0.0000,47,37,0.787234
SHORT,400,400,2,1,-2830.0000,40.0000,47,34,0.723404
SHORT,400,400,2,2,-2830.0000,80.0000,47,37,0.787234
SHORT,400,400,2,3,-2830.0000,120.0000,47,36,0.765957
SHORT,400,400,2,4,-2830.0000,160.0000,47,37,0.787234
SHORT,400,400,2,5,-2830.0000,200.0000,47,34,0.723404
SHORT,400,400,2,6,-2830.0000,240.0000,47,34,0.723404
SHORT,400,400,2,7,-2830.0000,280.0000,47,38,0.808511
SHORT,400,400,2,8,-2830.0000,320.0000,47,36,0.765957
SHORT,400,400,2,9,-2830.0000,360.0000,47,36,0.765957
