session,flight,bin,T_ms,vx_own,vy_own,vz_own,vx_ref,vy_ref,vz_ref,err_vx,err_vy,err_vz,velocity_error_mm_s
2026_07_21_gym,flight_104,LOB,950,2926.1452932149405,162.25414467218897,-6967.256495717099,2915.7775737931925,181.36977283936037,-6968.279680542674,10.367719421748006,-19.115628167171394,1.0231848255752993,21.77024927328447
2026_07_21_gym,flight_104,LOB,1000,2911.875551408301,196.03626506007197,-6975.619294086228,2915.7775737931925,181.36977283936037,-6968.279680542674,-3.902022384891552,14.666492220711604,-7.339613543554151,16.858282822431633
2026_07_21_gym,flight_104,LOB,1050,2920.9020073050206,167.66120513171057,-6971.2167027921105,2915.7775737931925,181.36977283936037,-6968.279680542674,5.1244335118281015,-13.708567707649792,-2.937022249436268,14.926846522492458
2026_07_21_gym,flight_104,LOB,1100,2897.258699350637,197.6897407425441,-7002.081506814779,2915.7775737931925,181.36977283936037,-6968.279680542674,-18.518874442555443,16.319967903183738,-33.801826272104336,41.85514929264416
2026_07_21_gym,flight_104,LOB,1150,2915.445354019209,182.7841806418131,-6975.817447783073,2915.7775737931925,181.36977283936037,-6968.279680542674,-0.33221977398352465,1.414407802452729,-7.537767240398352,7.676513165511989
2026_07_21_gym,flight_104,LOB,1200,2894.3311578059825,235.13714434093828,-6992.503351501008,2915.7775737931925,181.36977283936037,-6968.279680542674,-21.446415987210003,53.76737150157791,-24.22367095833397,62.75081857300954
2026_07_21_gym,flight_104,LOB,1250,2931.819976362974,134.64836712862225,-6960.942637021134,2915.7775737931925,181.36977283936037,-6968.279680542674,16.042402569781643,-46.72140571073811,7.337043521540181,49.940771313980925
2026_07_21_gym,flight_106,LOB,300,3103.4291231169245,-481.28586176913103,-6293.29276488296,3117.313017563516,-21.434492822933297,-6096.31951939582,-13.883894446591512,-459.85136894619774,-196.97324548714005,500.4542970985792
2026_07_21_gym,flight_106,LOB,350,2883.704583217553,204.19529550334374,-6659.466510023039,3117.313017563516,-21.434492822933297,-6096.31951939582,-233.6084343459629,225.62978832627704,-563.1469906272187,650.0894054129981
2026_07_21_gym,flight_106,LOB,400,2984.1907005289636,7.870529431557796,-6426.75759467894,3117.313017563516,-21.434492822933297,-6096.31951939582,-133.12231703455245,29.305022254491092,-330.43807528312027,357.4488176212047
2026_07_21_gym,flight_106,LOB,450,3010.2852075361093,-29.5771522235919,-6382.824756537839,3117.313017563516,-21.434492822933297,-6096.31951939582,-107.02781002740676,-8.142659400658601,-286.5052371420188,305.95180328146745
2026_07_21_gym,flight_106,LOB,490,2915.401530136948,202.26586549571567,-6536.726384463821,3117.313017563516,-21.434492822933297,-6096.31951939582,-201.91148742656787,223.70035831864897,-440.406865068001,533.6368670413667
2026_07_21_gym,flight_106,LOB,500,2905.801619518567,201.08057392094008,-6562.498099154516,3117.313017563516,-21.434492822933297,-6096.31951939582,-211.51139804494915,222.51506674387338,-466.1785797586963,558.1867919046408
2026_07_21_gym,flight_106,LOB,550,2925.3224301288656,158.0222042427841,-6521.597356428107,3117.313017563516,-21.434492822933297,-6096.31951939582,-191.99058743465048,179.4566970657174,-425.2778370322867,499.9263250280976
2026_07_21_gym,flight_106,LOB,600,2943.4021406308325,144.3618361626677,-6477.1029625356905,3117.313017563516,-21.434492822933297,-6096.31951939582,-173.91087693268355,165.79632898560098,-380.78344313987054,450.2548682580256
2026_07_21_gym,flight_106,LOB,650,2934.757694576628,180.6537647849897,-6485.780551268178,3117.313017563516,-21.434492822933297,-6096.31951939582,-182.55532298688786,202.088257607923,-389.46103187235803,475.23258007099554
2026_07_21_gym,flight_106,LOB,700,3059.401302735801,-51.30631431643724,-6252.9086881801,3117.313017563516,-21.434492822933297,-6096.31951939582,-57.91171482771506,-29.87182149350394,-156.58916878428045,169.60619155614035
2026_07_21_gym,flight_106,LOB,750,3068.678041343313,-28.589769348592785,-6229.8715548217715,3117.313017563516,-21.434492822933297,-6096.31951939582,-48.63497622020304,-7.155276525659488,-133.55203542595154,142.31199900399508
2026_07_21_gym,flight_106,LOB,800,3082.7283624014267,-66.93665177659699,-6204.374397455472,3117.313017563516,-21.434492822933297,-6096.31951939582,-34.58465516208935,-45.502158953663695,-108.05487805965186,122.23911613968484
2026_07_21_gym,flight_106,LOB,850,3088.838233567942,-59.021951067833605,-6191.180837745049,3117.313017563516,-21.434492822933297,-6096.31951939582,-28.474783995573944,-37.587458244900304,-94.8613183492289,105.93535793048673
2026_07_21_gym,flight_106,LOB,900,3040.8472427612796,97.1959336842524,-6232.022512526596,3117.313017563516,-21.434492822933297,-6096.31951939582,-76.46577480223641,118.63042650718569,-135.70299313077612,195.79452278864835
2026_07_21_gym,flight_106,LOB,950,3100.2829778971263,-25.540300083934184,-6146.86904740468,3117.313017563516,-21.434492822933297,-6096.31951939582,-17.030039666389712,-4.105807261000887,-50.54952800885985,53.498922290283595
