bin,T_ms,n,X_depth_bias_mm_s,X_depth_scatter_rms_mm_s,X_depth_median_abs_mm_s,Y_width_bias_mm_s,Y_width_scatter_rms_mm_s,Y_width_median_abs_mm_s,Z_up_bias_mm_s,Z_up_scatter_rms_mm_s,Z_up_median_abs_mm_s
MID,1000,12,0.6508476462424445,24.212265094611727,13.779563452105322,3.178821358477132,58.63856970402738,39.73588105096471,0.5285757915362032,22.060830801495882,12.767497326302873
MID,1050,12,-0.875810214621121,23.661802068409912,13.194908859900352,-26.994959503676252,57.306523438042994,28.590956340481227,-8.752168621534679,27.415640531720904,18.686842135644383
MID,1100,12,3.4290520133636164,17.500482362088356,15.077888220426303,-18.699857061998575,51.21034219394085,41.473130652252564,0.7700617402531028,21.058527841437115,17.734720451139765
MID,1150,12,7.326493834459408,23.558222917472726,15.133069715667943,-18.603911661974415,53.91425849225335,35.025988931620674,6.171308652352347,16.91179309417046,14.82956202188916
MID,1200,11,2.220248204376193,17.439649184515154,10.532074987840133,-19.49944690837796,57.074541580613534,47.60359393459221,3.090284583284756,21.763001120935513,14.669567444322638
MID,1250,12,2.5024589953438863,16.115249724829056,8.92487406164446,-31.24934176816949,53.14262241191426,30.916053602719074,-4.1906670306860105,25.879637080959238,9.496274247847396
LOB,150,25,-119.86268319141081,259.830134417166,171.39976118492723,30.288126192252516,390.58747970943915,229.23456645457742,-318.4447321319247,585.3174100911154,358.78862031263
LOB,200,45,-140.5824122338276,234.8235962641163,142.92736583622445,80.71501195504521,311.19351032012577,175.33617195077483,-347.805850921764,546.122247798041,306.3563119256378
LOB,250,51,-106.93835267142444,188.3681920137425,128.99476863949803,39.77135404289928,238.6700563854082,151.28510559746235,-273.7798640193108,427.23110285779984,266.3374791640663
LOB,300,59,-101.40083654553429,172.74793135551147,91.83670635086855,60.11759597663982,243.91309741837776,145.9471419828671,-244.02539237000389,365.7393106199412,204.32372988012685
LOB,350,60,-55.96907749533513,132.8298170221469,82.1586628102907,1.3360784232082954,202.05387327927426,114.97634146192422,-157.25743918717654,281.7700656330529,144.79263625366139
LOB,400,60,-57.123851833911765,97.21215948923057,60.463358191258976,27.47241803244344,144.61188367469668,80.44649941357174,-150.98434744198093,210.24355343987233,147.98524015143494
LOB,450,59,-58.199246044344534,95.83106103422907,58.450336649922065,52.70863643681506,147.8466310036191,100.09222357310853,-146.59801075634317,209.1388553592633,118.38390793252256
LOB,490,59,-55.087987994960876,92.43363579852924,46.417579545172885,52.58895722640026,152.1714581343202,91.6832081652193,-136.95606339202138,188.9652766689455,96.0920614476745
LOB,500,59,-49.476501388088465,82.85821294556983,47.1283772845195,42.008510474325405,134.6960730638016,103.57455070527271,-128.64023276922515,174.9809469963601,94.74690091717002
LOB,550,59,-46.95213460365866,87.60685756495864,44.19890632611259,34.19707419046514,115.4786586958324,68.19428472988035,-129.1723960096152,195.7937016324812,94.55947438086605
LOB,600,60,-40.3172866202804,73.97668890576584,45.24282976249674,41.83350356220649,111.7854442319107,44.1060325890454,-110.18970405413697,153.16448446022818,85.28730658369204
LOB,650,60,-29.9407992691734,58.42697997262195,38.36184563892243,31.323368975325415,78.35931916024106,56.51376933321677,-84.68708958390283,119.87840505834787,74.14351546309763
LOB,700,60,-23.077372018157455,50.9987906025551,29.674541932577313,16.809739953361383,67.36896204509135,40.738131002327435,-77.13696424872384,112.29604496490806,69.09627409139284
LOB,750,60,-22.759531503503702,42.55807778332342,24.546105306432764,28.899650070321005,62.564263804965314,40.357710892180435,-66.88852968200314,89.87377518706724,68.77653803120711
LOB,800,59,-18.53931634127737,40.93311900219748,30.19897984718591,16.18778206614441,66.84947747014438,44.38941652575909,-60.53939902267037,84.13433626494141,52.50296850549694
LOB,850,60,-9.717330390211396,30.57582746468185,19.752631925562582,1.565577781156398,48.46313716156866,25.01113358387414,-47.49942599303484,68.65447423419907,48.31641919617914
LOB,900,59,-9.607098711833244,30.725444247868985,19.944246602977273,6.165529327429401,51.86529369800156,31.373930733085103,-41.963563956655825,65.0039776743722,45.66452728402601
LOB,950,60,-11.548861333718946,30.34662472371567,17.492378069002598,17.801422419164506,49.87240053901626,28.992701648134577,-38.892871106011825,58.525011615109584,37.85860149858854
LOB,1000,60,-7.500280890610702,25.415593051180107,15.493577984715785,9.055907926897106,47.34477311936583,25.58851468140091,-31.827599063651103,54.074203211492474,39.70396805220298
LOB,1050,60,-4.132786545650273,22.98018974606499,16.636082148471132,1.2149071257262685,40.87998025209186,29.871560235604946,-26.812156193048608,48.08156703801742,27.75797297998406
LOB,1100,56,-7.605678210659984,20.609633554597142,12.183548913749974,1.3845562015387982,40.98985781514905,26.756238057608456,-28.868871872817653,49.27322574806906,24.509651547517024
LOB,1150,60,-4.464904757990431,20.06197104962186,13.384535538646105,6.214140029005374,38.58444410971417,24.689478639260358,-17.65165692868539,43.225020048737036,22.308110686109558
LOB,1200,59,-2.46099520630162,17.683431683041047,10.699455775363276,-8.539921317980058,67.33279713424233,24.809595797185068,-17.748658165684546,47.42677748524682,19.041460303507847
LOB,1250,59,-2.7627792315202373,20.77977946165039,12.210418832332834,-0.4516974110868111,36.73730820414678,25.621078360990055,-9.34888421810899,41.25430438702537,18.618422346231455
