bin,T_ms,deadline_ms,n_fit_ok,latency_median_ms,latency_p95_ms,T_ready_median_ms,T_ready_p95_ms,margin_median_ms,margin_p95_ms,feasible_p95,position_error_median_mm,position_error_iqr_mm
LOB,200.0,1080.0,45,147.50098166676858,168.0715808679039,347.50098166676855,368.0715808679039,732.4990183332314,711.9284191320961,True,391.5251457854763,410.4118428527744
LOB,250.0,1080.0,51,156.44420466820398,174.95073066667342,406.44420466820395,424.9507306666734,673.555795331796,655.0492693333266,True,373.8779620568085,370.58753801281046
LOB,300.0,1080.0,59,169.59900066784272,186.50988486722733,469.5990006678427,486.50988486722736,610.4009993321573,593.4901151327726,True,340.78865412011527,310.16081032026614
LOB,350.0,1080.0,60,178.8123791675704,199.72728791708744,528.8123791675704,549.7272879170874,551.1876208324296,530.2727120829126,True,248.46219646919405,272.56172986963213
LOB,400.0,1080.0,60,185.69384216765562,202.73762186660122,585.6938421676556,602.7376218666012,494.3061578323444,477.2623781333988,True,224.3717941657095,154.43576009292988
LOB,450.0,1080.0,59,195.44197966686139,213.23487886857862,645.4419796668614,663.2348788685786,434.55802033313864,416.7651211314214,True,178.45633018386926,153.9424729605004
LOB,490.0,1080.0,59,202.25629466834167,217.6526464676174,692.2562946683416,707.6526464676174,387.74370533165836,372.3473535323826,True,156.31315769249494,136.09533390407472
LOB,500.0,1080.0,59,202.28846266741553,224.79770946676527,702.2884626674155,724.7977094667652,377.7115373325845,355.20229053323476,True,171.84896572592095,126.2105737751225
LOB,550.0,1080.0,59,215.5938526658962,232.9171443664158,765.5938526658962,782.9171443664159,314.4061473341038,297.0828556335842,True,145.73058482678027,107.33036449723149
LOB,600.0,1080.0,60,227.6101941668118,250.9973442158351,827.6101941668118,850.9973442158351,252.3898058331882,229.0026557841649,True,115.0108881522815,101.49461781388668
LOB,650.0,1080.0,60,228.84234216545397,249.16767341673062,878.8423421654539,899.1676734167306,201.15765783454603,180.83232658326938,True,110.12788043107683,66.02334121681099
