session,flight,threshold_mm,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,accepted_frames,fit_window_duration_ms
2026_07_15_gym,flight_12,75.0,4,ok,105.4761,248.5876,17,26,32;33;34;35;36;37;38;39;41;42;44;47;48;50;51;54;56,416.3005
2026_07_15_gym,flight_12,75.0,5,ok,130.7302,189.3739,17,26,32;33;34;35;36;37;38;39;43;44;47;48;50;51;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,6,ok,133.9188,154.1862,17,26,32;33;35;36;37;38;39;41;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,7,ok,133.7001,175.2299,18,26,32;33;34;35;36;37;38;39;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,8,ok,127.8909,188.7390,14,26,32;33;34;35;37;40;43;44;47;48;51;53;56;57,416.3005
2026_07_15_gym,flight_12,75.0,9,ok,112.5088,283.4871,11,26,33;35;36;38;39;41;43;44;47;48;53,416.3005
2026_07_15_gym,flight_12,75.0,10,ok,113.5964,1032.2702,9,26,33;35;36;37;38;39;40;43;46,416.3005
2026_07_15_gym,flight_12,75.0,11,ok,126.5444,126.3179,12,26,32;33;34;35;37;38;40;43;44;48;53;57,416.3005
2026_07_15_gym,flight_12,75.0,12,ok,116.0278,223.4786,12,26,32;33;34;35;36;37;38;40;43;44;48;53,416.3005
2026_07_15_gym,flight_12,75.0,13,ok,121.3117,281.4013,14,26,32;34;35;37;40;43;44;47;48;50;51;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,14,ok,110.9797,305.6673,10,26,33;35;36;37;38;39;40;43;44;48,416.3005
2026_07_15_gym,flight_12,75.0,15,ok,148.0895,159.6166,16,26,32;33;34;35;36;37;38;39;43;44;47;48;51;53;56;57,416.3005
2026_07_15_gym,flight_12,75.0,16,ok,132.0651,175.2299,18,26,32;33;34;35;36;37;38;39;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,17,ok,151.4797,169.7625,19,26,32;33;34;35;36;37;38;39;41;43;44;47;48;50;51;53;54;56;57,416.3005
