session,flight_id,N_requested,N_used,status,speed_m_s,elevation_deg,accel_mag_m_s2,gravity_crosscheck_diff_deg,registration_used,n_paired_frames,flag_reason
2026_07_21_gym,flight_47,20,20,ok,7.5614,56.6789,13.1973,21.4534,registration1,90,"|a|=13.20 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_47,30,30,ok,7.2134,55.7258,10.1024,9.0831,registration1,90,
2026_07_21_gym,flight_48,20,20,ok,8.4571,44.8268,13.7210,16.8035,registration1,81,"|a|=13.72 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_48,30,30,ok,8.1129,45.8987,12.5004,7.9217,registration1,81,"|a|=12.50 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_49,20,20,ok,6.9712,48.9265,9.5317,23.8670,registration1,84,"|a|=9.53 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_49,30,30,ok,7.1451,51.2249,11.1761,13.8972,registration1,84,"|a|=11.18 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_50,20,20,ok,7.5765,47.2456,11.9451,7.6391,registration1,78,"|a|=11.95 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_50,30,30,ok,7.3993,44.7385,9.8558,14.7078,registration1,78,
2026_07_21_gym,flight_51,20,20,ok,7.6827,49.9298,13.5527,59.7158,registration1,92,"|a|=13.55 outside nominal band [9.8,11.0]; gravity crosscheck diff=59.7 deg > 45.0"
2026_07_21_gym,flight_51,30,30,ok,7.6495,56.1528,10.4519,15.3741,registration1,92,
2026_07_21_gym,flight_52,20,20,ok,8.5455,57.0968,15.0711,16.8254,registration1,91,"|a|=15.07 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_52,30,30,ok,8.4043,56.3789,13.4824,8.5076,registration1,91,"|a|=13.48 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_53,20,20,ok,7.1537,53.2183,11.2840,34.6357,registration1,88,"|a|=11.28 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_53,30,30,ok,7.1887,56.4964,11.1857,6.5338,registration1,88,"|a|=11.19 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_54,20,20,ok,7.4673,37.7753,12.1331,11.9023,registration1,71,"|a|=12.13 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_54,30,30,ok,7.3433,37.2781,11.2613,9.4100,registration1,71,"|a|=11.26 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_55,20,20,ok,7.5743,48.3471,11.7674,10.8039,registration1,81,"|a|=11.77 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_55,30,30,ok,7.4787,47.9412,11.1107,11.2286,registration1,81,"|a|=11.11 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_56,20,20,ok,6.9007,43.5006,10.7104,21.4649,registration1,81,
2026_07_21_gym,flight_56,30,30,ok,6.8579,45.1050,10.6384,17.8367,registration1,81,
2026_07_21_gym,flight_57,20,20,ok,6.3945,53.1889,9.6697,8.0797,registration1,80,"|a|=9.67 outside nominal band [9.8,11.0]"
