session,flight,model,rejected_fraction,converge_fail
2026_07_21_gym,flight_120,A,0.3095,False
2026_07_21_gym,flight_120,B,0.5000,False
2026_07_21_gym,flight_120,C,0.2738,False
2026_07_21_gym,flight_121,A,0.4512,False
2026_07_21_gym,flight_121,B,0.6341,False
2026_07_21_gym,flight_121,C,0.4024,False
2026_07_21_gym,flight_122,A,0.4615,False
2026_07_21_gym,flight_122,B,0.6154,False
2026_07_21_gym,flight_122,C,0.4286,False
2026_07_21_gym,flight_123,A,0.5625,False
2026_07_21_gym,flight_123,B,0.6500,False
2026_07_21_gym,flight_123,C,0.4250,False
2026_07_21_gym,flight_124,A,0.3947,False
2026_07_21_gym,flight_124,B,0.5658,False
2026_07_21_gym,flight_124,C,0.4079,False
2026_07_21_gym,flight_125,A,0.3210,False
2026_07_21_gym,flight_125,B,0.5432,False
2026_07_21_gym,flight_125,C,0.3457,False
2026_07_21_gym,flight_126,A,0.3721,False
2026_07_21_gym,flight_126,B,0.6744,False
2026_07_21_gym,flight_126,C,0.3256,False
2026_07_15_gym,flight_01,A,0.1200,False
2026_07_15_gym,flight_01,B,0.1600,False
2026_07_15_gym,flight_01,C,0.0800,False
2026_07_15_gym,flight_11,A,0.5455,False
2026_07_15_gym,flight_11,B,0.8052,False
2026_07_15_gym,flight_11,C,0.5974,False
2026_07_15_gym,flight_12,A,0.5465,False
2026_07_15_gym,flight_12,B,0.7907,False
2026_07_15_gym,flight_12,C,0.4767,False
2026_07_15_gym,flight_13,A,0.1667,False
2026_07_15_gym,flight_13,B,0.2083,False
2026_07_15_gym,flight_13,C,0.2083,False
2026_07_15_gym,flight_14,A,0.3614,False
2026_07_15_gym,flight_14,B,0.7590,False
2026_07_15_gym,flight_14,C,0.4217,False
2026_07_15_gym,flight_15,A,0.4138,False
2026_07_15_gym,flight_15,B,0.7241,False
2026_07_15_gym,flight_15,C,0.4483,False
2026_07_15_gym,flight_17,A,0.4865,False
2026_07_15_gym,flight_17,B,0.7027,False
2026_07_15_gym,flight_17,C,0.5000,False
2026_07_15_gym,flight_19,A,0.4146,False
2026_07_15_gym,flight_19,B,0.6829,False
2026_07_15_gym,flight_19,C,0.3902,False
2026_07_15_gym,flight_20,A,0.3140,False
2026_07_15_gym,flight_20,B,0.6860,False
2026_07_15_gym,flight_20,C,0.2907,False
2026_07_15_gym,flight_21,A,0.3214,False
2026_07_15_gym,flight_21,B,0.5595,False
2026_07_15_gym,flight_21,C,0.2619,False
2026_07_15_gym,flight_22,A,0.5287,False
2026_07_15_gym,flight_22,B,0.7356,False
2026_07_15_gym,flight_22,C,0.4023,False
2026_07_15_gym,flight_23,A,0.2877,False
2026_07_15_gym,flight_23,B,0.6301,False
2026_07_15_gym,flight_23,C,0.2329,False
2026_07_15_gym,flight_24,A,0.3827,False
2026_07_15_gym,flight_24,B,0.5432,False
2026_07_15_gym,flight_24,C,0.2963,False
2026_07_15_gym,flight_25,A,0.3415,False
2026_07_15_gym,flight_25,B,0.7073,False
2026_07_15_gym,flight_25,C,0.2927,False
2026_07_15_gym,flight_26,A,0.4578,False
2026_07_15_gym,flight_26,B,0.7831,False
2026_07_15_gym,flight_26,C,0.3855,False
2026_07_15_gym,flight_27,A,0.4247,False
2026_07_15_gym,flight_27,B,0.7945,False
2026_07_15_gym,flight_27,C,0.3973,False
2026_07_15_gym,flight_28,A,0.2283,False
2026_07_15_gym,flight_28,B,0.5761,False
2026_07_15_gym,flight_28,C,0.1739,False
2026_07_15_gym,flight_29,A,0.1910,False
2026_07_15_gym,flight_29,B,0.5843,False
2026_07_15_gym,flight_29,C,0.1685,False
2026_07_15_gym,flight_31,A,0.3256,False
2026_07_15_gym,flight_31,B,0.5814,False
2026_07_15_gym,flight_31,C,0.2558,False
2026_07_15_gym,flight_33,A,0.2800,False
2026_07_15_gym,flight_33,B,0.5467,False
2026_07_15_gym,flight_33,C,0.2533,False
2026_07_15_gym,flight_36,A,0.4691,False
2026_07_15_gym,flight_36,B,0.6790,False
2026_07_15_gym,flight_36,C,0.4321,False
2026_07_15_gym,flight_38,A,0.2727,False
2026_07_15_gym,flight_38,B,0.3636,False
2026_07_15_gym,flight_38,C,0.2338,False
2026_07_15_gym,flight_43,A,0.3448,False
2026_07_15_gym,flight_43,B,0.5977,False
2026_07_15_gym,flight_43,C,0.3678,False
2026_07_15_gym,flight_45,A,0.2593,False
2026_07_15_gym,flight_45,B,0.5062,False
2026_07_15_gym,flight_45,C,0.2716,False
2026_07_15_gym,flight_47,A,0.4091,False
2026_07_15_gym,flight_47,B,0.5568,False
2026_07_15_gym,flight_47,C,0.3182,False
2026_07_15_gym,flight_48,A,0.4024,False
2026_07_15_gym,flight_48,B,0.6829,False
2026_07_15_gym,flight_48,C,0.3537,False
2026_07_15_gym,flight_49,A,0.4103,False
2026_07_15_gym,flight_49,B,0.5641,False
2026_07_15_gym,flight_49,C,0.3333,False
2026_07_15_gym,flight_50,A,0.2676,False
2026_07_15_gym,flight_50,B,0.4648,False
2026_07_15_gym,flight_50,C,0.2817,False
2026_07_15_gym,flight_52,A,0.3148,False
2026_07_15_gym,flight_52,B,0.5185,False
2026_07_15_gym,flight_52,C,0.2407,False
2026_07_15_gym,flight_53,A,0.3333,False
2026_07_15_gym,flight_53,B,0.4872,False
2026_07_15_gym,flight_53,C,0.3077,False
2026_07_15_gym,flight_54,A,0.2059,False
2026_07_15_gym,flight_54,B,0.2353,False
2026_07_15_gym,flight_54,C,0.2059,False
2026_07_15_gym,flight_55,A,0.0714,False
2026_07_15_gym,flight_55,B,0.0714,False
2026_07_15_gym,flight_55,C,0.0714,False
2026_07_15_gym,flight_56,A,0.2973,False
2026_07_15_gym,flight_56,B,0.4324,False
2026_07_15_gym,flight_56,C,0.2703,False
2026_07_15_gym,flight_57,A,0.0400,False
2026_07_15_gym,flight_57,B,0.0400,False
2026_07_15_gym,flight_57,C,0.0800,False
2026_07_15_gym,flight_58,A,0.0556,False
2026_07_15_gym,flight_58,B,0.0556,False
2026_07_15_gym,flight_58,C,0.0556,False
2026_07_15_gym,flight_59,A,0.0000,False
2026_07_15_gym,flight_59,B,0.0000,False
2026_07_15_gym,flight_59,C,0.0000,False
2026_07_15_gym,flight_60,A,0.2500,False
2026_07_15_gym,flight_60,B,0.4250,False
2026_07_15_gym,flight_60,C,0.1750,False
