session,flight,model,residual_rms_mm
2026_07_15_gym,flight_54,B,43.6002
2026_07_15_gym,flight_54,C,41.7746
2026_07_15_gym,flight_55,A,39.3522
2026_07_15_gym,flight_55,B,43.3510
2026_07_15_gym,flight_55,C,39.5677
2026_07_15_gym,flight_56,A,38.1829
2026_07_15_gym,flight_56,B,43.7343
2026_07_15_gym,flight_56,C,40.2927
2026_07_15_gym,flight_57,A,34.4631
2026_07_15_gym,flight_57,B,36.0701
2026_07_15_gym,flight_57,C,40.1998
2026_07_15_gym,flight_58,A,30.7929
2026_07_15_gym,flight_58,B,32.7057
2026_07_15_gym,flight_58,C,31.5078
2026_07_15_gym,flight_59,A,29.2080
2026_07_15_gym,flight_59,B,31.4903
2026_07_15_gym,flight_59,C,33.7822
2026_07_15_gym,flight_60,A,36.4790
2026_07_15_gym,flight_60,B,42.5562
2026_07_15_gym,flight_60,C,42.0715
